ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,ID_ODS,DESC_ODS,ID_METAODS,DESC_METAODS,ID_SM1,DESC_SM1,ID_SM2,DESC_SM2,ID_SM3,DESC_SM3,ID_SM4,DESC_SM4,ID_SM5,DESC_SM5,ID_SM6,DESC_SM6,ID_TCONTRIBUCION,DESC_TCONTRIBUCION,colour
15,"Desarrollo Agrario, Territorial y Urbano",E,Prestacin de Servicios Pblicos,6,Administracin de fondos comunes de ncleos agrarios y supervisin de expropiaciones,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",9,"Para 2020, aumentar sustancialmente el nmero de ciudades y asentamientos humanos que adoptan y ponen en marcha polticas y planes integrados para promover la inclusin, el uso eficiente de los recursos, la mitigacin del cambio climtico y la adaptacin a l y la resiliencia ante los desastres, y desarrollar y poner en prctica, en consonancia con el Marco de Sendai para la Reduccin del Riesgo de Desastres 2015-2030, la gestin integral de los riesgos de desastre a todos los niveles.",2,Promocin de la inclusin,2,Uso eficiente de los recursos,2,Mitigacin y adaptacin del cambio climtico,2,Resiliencia ante los desastres,2,Gestin de riesgos de desastres,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",E,Prestacin de Servicios Pblicos,14,Programa de Otorgamiento de Crdito (Fondo Nacional de Garantas para la Vivienda Popular),11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",1,"Para 2030, asegurar el acceso de todas las personas a viviendas y servicios bsicos adecuados, seguros y asequibles y mejorar los barrios marginales",2,"Vivienda y servicios adecuados, seguros y asequibles",2,Mejoramiento de los barrios marginales,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",G,Regulacin y supervisin,1,"Atencin de asuntos jurdicos en materia agraria, territorial, urbana y vivienda",11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",1,No aplica,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",P,"Planeacin, seguimiento y evaluacin de polticas pblicas",3,Modernizacin del Catastro Rural Nacional,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",P,"Planeacin, seguimiento y evaluacin de polticas pblicas",4,Conduccin e instrumentacin de la poltica nacional de vivienda,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",1,"Para 2030, asegurar el acceso de todas las personas a viviendas y servicios bsicos adecuados, seguros y asequibles y mejorar los barrios marginales",2,"Vivienda y servicios adecuados, seguros y asequibles",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",P,"Planeacin, seguimiento y evaluacin de polticas pblicas",4,Conduccin e instrumentacin de la poltica nacional de vivienda,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",P,"Planeacin, seguimiento y evaluacin de polticas pblicas",5,Poltica de Desarrollo Urbano y Ordenamiento del Territorio,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",E,Prestacin de Servicios Pblicos,14,Programa de Otorgamiento de Crdito (Fondo Nacional de Garantas para la Vivienda Popular),11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",E,Prestacin de Servicios Pblicos,14,Programa de Otorgamiento de Crdito (Fondo Nacional de Garantas para la Vivienda Popular),11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",9,"Para 2020, aumentar sustancialmente el nmero de ciudades y asentamientos humanos que adoptan y ponen en marcha polticas y planes integrados para promover la inclusin, el uso eficiente de los recursos, la mitigacin del cambio climtico y la adaptacin a l y la resiliencia ante los desastres, y desarrollar y poner en prctica, en consonancia con el Marco de Sendai para la Reduccin del Riesgo de Desastres 2015-2030, la gestin integral de los riesgos de desastre a todos los niveles.",2,Promocin de la inclusin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",S,Sujetos a Reglas de Operacin,177,Programa de Vivienda Social,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",1,"Para 2030, asegurar el acceso de todas las personas a viviendas y servicios bsicos adecuados, seguros y asequibles y mejorar los barrios marginales",2,"Vivienda y servicios adecuados, seguros y asequibles",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",S,Sujetos a Reglas de Operacin,177,Programa de Vivienda Social,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",S,Sujetos a Reglas de Operacin,213,Programa para Regularizar Asentamientos Humanos,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",S,Sujetos a Reglas de Operacin,273,Programa de Mejoramiento Urbano (PMU),11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",1,"Para 2030, asegurar el acceso de todas las personas a viviendas y servicios bsicos adecuados, seguros y asequibles y mejorar los barrios marginales",2,"Vivienda y servicios adecuados, seguros y asequibles",2,Mejoramiento de los barrios marginales,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",S,Sujetos a Reglas de Operacin,273,Programa de Mejoramiento Urbano (PMU),11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",7,"Para 2030, proporcionar acceso universal a zonas verdes y espacios pblicos seguros, inclusivos y accesibles, en particular para las mujeres y los nios, las personas de edad y las personas con discapacidad",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
15,"Desarrollo Agrario, Territorial y Urbano",U,Otros Subsidios,1,Regularizacin y Registro de Actos Jurdicos Agrarios,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
